Year,படம்,பாடல்,இசையமைப்பாளர்,Note
2024,அயலான்,Ayalaa Ayalaa,ஏ. ஆர். ரஹ்மான்,
,,,,
2024,ஜோஷுவா,Imai Pol Kaakha: Tappasu Neram,Karthik,
2024,Ranam Aram Thavarel,Achu Pennae,Arroll Corelli,
,,,,
2024,The Family star (Tamil),Nandanadana,Gopi Sundar,
2024,The Family star (Tamil),Kalyaanam Satham Satham,Gopi Sundar,
,,,,
2024,J Baby,Idha Thane Ethir Paathen,சந்தோஷ் நாராயணன்,
2024,J Baby,Yaar Padalai,சந்தோஷ் நாராயணன்,
2024,J Baby,Idha Thane (Reprise),சந்தோஷ் நாராயணன்,
,,,,
2024,கல்கி 2898 AD,Bhairava Anthem,சந்தோஷ் நாராயணன்,
2024,கல்கி 2898 AD,Theme of Kalki,சந்தோஷ் நாராயணன்,
2024,கல்கி 2898 AD,Hope of Shambala,சந்தோஷ் நாராயணன்,
2024,கல்கி 2898 AD,Ta Takkara (Complex Song),சந்தோஷ் நாராயணன்,
2024,கல்கி 2898 AD,Keshava Madhava (Wait of Ashwatthama),சந்தோஷ் நாராயணன்,
,,,,
2024,ஈ.எம்.ஐ.,Poonaikku,Srinath Pitchai,
2024,வாழை,Otha Satti Soru,சந்தோஷ் நாராயணன்,
2024,தி கிரேடெஸ்ட் ஆப் ஆல் டைம்,Matta,யுவன் சங்கர் ராஜா,
,,,,
2024,கேம் சேஞ்சர்,Jaragandi,தமன் எஸ்,Also Tamil dialogues and screenplay along with S. Shankar
2024,கேம் சேஞ்சர்,Raa Macha Macha,தமன் எஸ்,
,,,,
2024,அமரன்,Uyirey,ஜி. வி. ப்ரகாஷ் குமார்,
2024,Bloody Beggar,Ponmayame,Jen Martin,Co-wrote lyrics with Vishnu Edavan
2024,Kadhalikka Neramillai,Yennai Izhukkuthadi,ஏ. ஆர். ரஹ்மான்,
,,,,
2025,நிலவுக்கு என் மேல் என்னடி கோபம்,Yedi,ஜி. வி. ப்ரகாஷ் குமார்,
2025,நிலவுக்கு என் மேல் என்னடி கோபம்,Veera Dheera Sooran,ஜி. வி. ப்ரகாஷ் குமார்,
